accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,dataset,explainer,min_robust,iteration
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.493787289,0.374689364,20,adult,FACETIndex,0.05,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.513416529,0.375670826,20,adult,FACETIndex,0.055,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.520038128,0.376001906,20,adult,FACETIndex,0.06,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.517885923,0.375894296,20,adult,FACETIndex,0.065,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.539070129,0.376953506,20,adult,FACETIndex,0.07,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.528752804,0.37643764,20,adult,FACETIndex,0.075,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.580610991,0.37903055,20,adult,FACETIndex,0.08,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.534543514,0.376727176,20,adult,FACETIndex,0.085,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.51313591,0.375656796,20,adult,FACETIndex,0.09,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.526643038,0.376332152,20,adult,FACETIndex,0.095,7
0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,91.94846082,7.487282038,0.374364102,20,adult,FACETIndex,0.1,7
0.846102819,0.725864739,0.620202911,0.668886775,1,0.097427156,0.142636038,2.35,91.15774798,4.702989817,0.235149491,20,adult,FACETIndex,0.001,8
